,Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
1051,'5764608310152362961',12/6/2020,-122.45,-20.0,11,115.002137,-8.76667,POINT (115.002137 -8.76667)
1080,'5764608310152364355',12/6/2020,-120.67,-20.0,3,115.00522600000001,-8.833169,POINT (115.005226 -8.833169)
1095,'5764608310152364514',12/6/2020,-121.18,-19.63,11,115.009346,-8.833509,POINT (115.009346 -8.833508999999999)
1123,'5764608310152366279',12/6/2020,-122.0,-20.0,4,115.01895900000001,-8.837919,POINT (115.018959 -8.837918999999999)
1141,'5764608310152366779',12/6/2020,-120.94,-16.19,16,115.02651200000001,-8.839953999999999,POINT (115.026512 -8.839953999999999)
1146,'5764608310152366853',12/6/2020,-121.75,-19.0,4,115.021363,-8.835205,POINT (115.021363 -8.835205)
1153,'5764608310152367120',12/6/2020,-128.25,-20.0,8,115.015869,-8.829438,POINT (115.015869 -8.829438)
1174,'5764608310152367815',12/6/2020,-121.22,-17.67,9,115.02445300000001,-8.827063,POINT (115.024453 -8.827063000000001)
1175,'5764608310152367876',12/6/2020,-121.44,-20.0,9,115.021363,-8.824688,POINT (115.021363 -8.824688)
1177,'5764608310152367935',12/6/2020,-123.5,-17.75,10,115.023766,-8.822992,POINT (115.023766 -8.822991999999999)
1193,'5764608310152368636',12/6/2020,-126.0,-16.5,1,115.00968999999999,-8.80976,POINT (115.00969 -8.809760000000001)
1195,'5764608310152368771',12/6/2020,-122.0,-20.0,5,115.013466,-8.819599,POINT (115.013466 -8.819599)
1200,'5764608310152369077',12/6/2020,-123.05,-17.33,21,115.014496,-8.812135000000001,POINT (115.014496 -8.812135000000001)
1201,'5764608310152369086',12/6/2020,-123.04,-17.44,25,115.015526,-8.812474,POINT (115.015526 -8.812474)
1214,'5764608310152369548',12/6/2020,-121.0,-14.14,7,115.008316,-8.802975,POINT (115.008316 -8.802975)
1216,'5764608310152369606',12/6/2020,-120.05,-15.54,21,115.00797299999999,-8.80026,POINT (115.007973 -8.80026)
1220,'5764608310152369875',12/6/2020,-122.25,-19.88,4,115.013466,-8.804671,POINT (115.013466 -8.804671000000001)
1256,'5764608310152370800',12/6/2020,-121.8,-16.1,15,115.02273600000001,-8.815866999999999,POINT (115.022736 -8.815866999999999)
1263,'5764608310152371230',12/6/2020,-123.9,-18.9,10,115.016899,-8.807046000000001,POINT (115.016899 -8.807046000000001)
1266,'5764608310152371330',12/6/2020,-123.67,-20.0,3,115.01895900000001,-8.809082,POINT (115.018959 -8.809082)
1272,'5764608310152371394',12/6/2020,-123.0,-18.5,1,115.01895900000001,-8.806367,POINT (115.018959 -8.806367)
1277,'5764608310152371451',12/6/2020,-123.0,-20.0,5,115.021019,-8.804671,POINT (115.021019 -8.804671000000001)
1278,'5764608310152371454',12/6/2020,-125.0,-20.0,1,115.021019,-8.804332,POINT (115.021019 -8.804332)
1298,'5764608310152372119',12/6/2020,-124.25,-20.0,4,115.02445300000001,-8.801278,POINT (115.024453 -8.801278)
1301,'5764608310152372306',12/6/2020,-127.0,-20.0,2,115.027199,-8.83758,POINT (115.027199 -8.837580000000001)
1308,'5764608310152373206',12/6/2020,-124.0,-20.0,4,115.035439,-8.831472999999999,POINT (115.035439 -8.831472999999999)
1310,'5764608310152373338',12/6/2020,-120.56,-19.5,9,115.02788600000001,-8.826723,POINT (115.027886 -8.826722999999999)
1317,'5764608310152373756',12/6/2020,-126.0,-16.6,5,115.03166200000001,-8.820617,POINT (115.031662 -8.820617)
1319,'5764608310152373800',12/6/2020,-128.33,-20.0,3,115.03440900000001,-8.830795,POINT (115.034409 -8.830795)
1332,'5764608310152374526',12/6/2020,-127.0,-20.0,4,115.042992,-8.836901,POINT (115.042992 -8.836900999999999)
1348,'5764608310152375137',12/6/2020,-126.09,-20.0,11,115.04470900000001,-8.833169,POINT (115.044709 -8.833169)
1361,'5764608310152375778',12/6/2020,-124.5,-20.0,2,115.042305,-8.822652,POINT (115.042305 -8.822652)
1370,'5764608310152375940',12/6/2020,-122.36,-18.47,14,115.04608200000001,-8.830116,POINT (115.046082 -8.830116)
1371,'5764608310152375981',12/6/2020,-122.25,-20.0,4,115.048142,-8.829777,POINT (115.048142 -8.829777)
