Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry
'5764608310152462335',2.02E+16,-123.49,-15.7,106,115.136,-8.84199,POINT (115.136376 -8.841989999999999)
'5764608310152473304',2.02E+16,-121.56,-15.56,9,115.091,-8.83758,POINT (115.090714 -8.837580000000001)
'5764608310152473328',2.02E+16,-125.85,-15.73,13,115.091,-8.83758,POINT (115.0914 -8.837580000000001)
'5764608310152473332',2.02E+16,-123.91,-17.93,21,115.091,-8.8369,POINT (115.0914 -8.836900999999999)
'5764608310152473338',2.02E+16,-122,-14,12,115.092,-8.83758,POINT (115.09243 -8.837580000000001)
'5764608310152473508',2.02E+16,-122.88,-17.62,8,115.091,-8.83554,POINT (115.0914 -8.835544000000001)
'5764608310152473529',2.02E+16,-128.33,-16.17,3,115.092,-8.83453,POINT (115.092087 -8.834526)
'5764608310152473532',2.02E+16,-123.33,-13.33,3,115.092,-8.83419,POINT (115.092087 -8.834187)
'5764608310152473565',2.02E+16,-126,-20,1,115.091,-8.83113,POINT (115.090714 -8.831134)
'5764608310152473570',2.02E+16,-126,-17.9,5,115.092,-8.83351,POINT (115.091744 -8.833508999999999)
'5764608310152473598',2.02E+16,-122,-18.5,3,115.092,-8.83147,POINT (115.09243 -8.831472999999999)
'5764608310152473726',2.02E+16,-128.75,-20,4,115.084,-8.82605,POINT (115.084191 -8.826045000000001)
'5764608310152473834',2.02E+16,-122.44,-15.44,9,115.087,-8.82808,POINT (115.086937 -8.82808)
'5764608310152474125',2.02E+16,-130.8,-20,5,115.088,-8.82978,POINT (115.087967 -8.829777)
'5764608310152474156',2.02E+16,-120.56,-18.89,27,115.089,-8.83012,POINT (115.089341 -8.830116)
'5764608310152474229',2.02E+16,-121,-20,4,115.089,-8.82571,POINT (115.088654 -8.825706)
'5764608310152474232',2.02E+16,-121.79,-17.53,43,115.089,-8.82672,POINT (115.089341 -8.826722999999999)
'5764608310152474264',2.02E+16,-120.47,-19.83,15,115.091,-8.82944,POINT (115.090714 -8.829438)
'5764608310152474265',2.02E+16,-120.54,-13.48,22,115.091,-8.8291,POINT (115.090714 -8.829098)
'5764608310152474293',2.02E+16,-126.5,-19,2,115.091,-8.82842,POINT (115.0914 -8.828419999999999)
'5764608310152474298',2.02E+16,-121.06,-16.54,34,115.092,-8.82944,POINT (115.09243 -8.829438)
'5764608310152474299',2.02E+16,-121.27,-15.96,861,115.092,-8.8291,POINT (115.09243 -8.829098)
'5764608310152474319',2.02E+16,-122.27,-17.33,15,115.091,-8.82706,POINT (115.091057 -8.827063000000001)
'5764608310152474322',2.02E+16,-122.1,-16.3,153,115.09,-8.82672,POINT (115.090371 -8.826722999999999)
'5764608310152474333',2.02E+16,-120.87,-12.98,2278,115.091,-8.82571,POINT (115.090714 -8.825706)
'5764608310152474336',2.02E+16,-120.43,-15.94,1751,115.091,-8.82808,POINT (115.0914 -8.82808)
'5764608310152474350',2.02E+16,-120.53,-11.99,213,115.092,-8.8274,POINT (115.09243 -8.827402000000001)
'5764608310152474355',2.02E+16,-120.1,-17.27,712,115.092,-8.82638,POINT (115.091744 -8.826383999999999)
'5764608310152474373',2.02E+16,-124.63,-18.57,267,115.087,-8.82435,POINT (115.087281 -8.824349)
'5764608310152474382',2.02E+16,-121.18,-12.43,55,115.088,-8.82469,POINT (115.088311 -8.824688)
'5764608310152474404',2.02E+16,-120.41,-16.41,17,115.089,-8.82469,POINT (115.088654 -8.824688)
'5764608310152474430',2.02E+16,-120.8,-13.52,126,115.09,-8.82333,POINT (115.089684 -8.823331)
'5764608310152474442',2.02E+16,-120.93,-14.09,109,115.088,-8.82265,POINT (115.088311 -8.822652)
'5764608310152474476',2.02E+16,-128.95,-19.42,19,115.089,-8.82197,POINT (115.089341 -8.821974000000001)
'5764608310152474493',2.02E+16,-122.8,-16.8,5,115.089,-8.82028,POINT (115.089341 -8.820278)
'5764608310152474497',2.02E+16,-126.64,-19.5,11,115.09,-8.82503,POINT (115.090027 -8.825027)
'5764608310152474513',2.02E+16,-123.54,-14.6,24,115.09,-8.82367,POINT (115.090027 -8.82367)
'5764608310152474521',2.02E+16,-120.98,-13.11,57,115.091,-8.82367,POINT (115.090714 -8.82367)
'5764608310152474536',2.02E+16,-120.3,-13.43,3586,115.092,-8.82537,POINT (115.092087 -8.825366000000001)
'5764608310152476847',2.02E+16,-121.99,-15.03,375,115.087,-8.81892,POINT (115.086937 -8.81892)
'5764608310152477189',2.02E+16,-121.64,-15.96,148,115.087,-8.81892,POINT (115.087281 -8.81892)
'5764608310152477193',2.02E+16,-123.43,-17.21,7,115.088,-8.8196,POINT (115.087967 -8.819599)
'5764608310152477197',2.02E+16,-121.47,-14.65,40,115.088,-8.81892,POINT (115.087967 -8.81892)
'5764608310152477203',2.02E+16,-120.82,-14.47,101,115.088,-8.81824,POINT (115.087624 -8.818242)
'5764608310152477204',2.02E+16,-120.32,-13.2,142,115.087,-8.8179,POINT (115.087281 -8.817902999999999)
'5764608310152477213',2.02E+16,-121.63,-14.13,94,115.088,-8.81756,POINT (115.087967 -8.817563)
'5764608310152477218',2.02E+16,-121.03,-12.19,505,115.089,-8.81994,POINT (115.088997 -8.819938)
'5764608310152477428',2.02E+16,-120.64,-14.68,11,115.091,-8.81519,POINT (115.0914 -8.815189)
'5764608310152477568',2.02E+16,-124.9,-14.7,10,115.09,-8.81451,POINT (115.090027 -8.81451)
'5764608310152477577',2.02E+16,-120.25,-19.33,620,115.091,-8.81417,POINT (115.090714 -8.814171)
'5764608310152477579',2.02E+16,-123.83,-14.91,121,115.091,-8.81417,POINT (115.091057 -8.814171)
'5764608310152477614',2.02E+16,-128,-20,4,115.092,-8.81383,POINT (115.09243 -8.813831)
'5764608310152495156',2.02E+16,-130.75,-16.56,8,115.094,-8.83962,POINT (115.094147 -8.839615)
'5764608310152495167',2.02E+16,-121.16,-13.9,56,115.095,-8.83928,POINT (115.095177 -8.839276)
'5764608310152495176',2.02E+16,-126.67,-13.08,6,115.093,-8.83894,POINT (115.09346 -8.838937)
'5764608310152495178',2.02E+16,-128,-16.67,3,115.094,-8.83894,POINT (115.093804 -8.838937)
'5764608310152495186',2.02E+16,-122.17,-14.8,18,115.093,-8.83758,POINT (115.093117 -8.837580000000001)
'5764608310152495195',2.02E+16,-120.71,-12.27,209,115.094,-8.83724,POINT (115.093804 -8.83724)
'5764608310152495198',2.02E+16,-122.04,-12.8,23,115.094,-8.8369,POINT (115.093804 -8.836900999999999)
'5764608310152495203',2.02E+16,-127,-20,3,115.094,-8.8386,POINT (115.09449 -8.838597)
'5764608310152495206',2.02E+16,-122.96,-12.81,26,115.094,-8.83826,POINT (115.09449 -8.838258)
'5764608310152495207',2.02E+16,-122.05,-18.34,19,115.094,-8.83792,POINT (115.09449 -8.837918999999999)
'5764608310152495210',2.02E+16,-120.16,-14.27,13,115.095,-8.83894,POINT (115.095177 -8.838937)
'5764608310152495219',2.02E+16,-120.97,-13.16,31,115.094,-8.83724,POINT (115.09449 -8.83724)
'5764608310152495222',2.02E+16,-122.68,-11.65,116,115.094,-8.8369,POINT (115.09449 -8.836900999999999)
'5764608310152495231',2.02E+16,-123.33,-11.53,49,115.095,-8.83656,POINT (115.095177 -8.836561999999999)
'5764608310152495247',2.02E+16,-121.63,-12.94,8,115.097,-8.84063,POINT (115.09655 -8.840633)
'5764608310152495249',2.02E+16,-120.21,-11.29,28,115.096,-8.83995,POINT (115.09552 -8.839953999999999)
'5764608310152495254',2.02E+16,-124,-15.17,3,115.096,-8.83962,POINT (115.095864 -8.839615)
'5764608310152495255',2.02E+16,-121.3,-12.26,203,115.096,-8.83928,POINT (115.095864 -8.839276)
'5764608310152495261',2.02E+16,-120.58,-12.71,12,115.096,-8.83928,POINT (115.096207 -8.839276)
'5764608310152495262',2.02E+16,-120.5,-15.25,20,115.097,-8.83962,POINT (115.09655 -8.839615)
'5764608310152495269',2.02E+16,-122,-11.75,2,115.097,-8.84063,POINT (115.096894 -8.840633)
'5764608310152495302',2.02E+16,-123.23,-12.67,9,115.096,-8.83826,POINT (115.095864 -8.838258)
'5764608310152495307',2.02E+16,-121.32,-12.9,59,115.097,-8.8386,POINT (115.09655 -8.838597)
'5764608310152495310',2.02E+16,-122.61,-12.92,36,115.097,-8.83826,POINT (115.09655 -8.838258)
'5764608310152495317',2.02E+16,-123.84,-11.93,61,115.096,-8.83656,POINT (115.09552 -8.836561999999999)
'5764608310152495326',2.02E+16,-124.11,-14.72,9,115.097,-8.8369,POINT (115.09655 -8.836900999999999)
'5764608310152495335',2.02E+16,-125,-15,1,115.097,-8.83792,POINT (115.097237 -8.837918999999999)
'5764608310152495337',2.02E+16,-122,-12,6,115.098,-8.8386,POINT (115.09758 -8.838597)
'5764608310152495340',2.02E+16,-121.1,-13.65,10,115.098,-8.83826,POINT (115.09758 -8.838258)
'5764608310152495342',2.02E+16,-120.2,-11.32,54,115.098,-8.83826,POINT (115.097924 -8.838258)
'5764608310152495345',2.02E+16,-121.63,-12.55,145,115.097,-8.83724,POINT (115.096894 -8.83724)
'5764608310152495346',2.02E+16,-122.83,-13.69,85,115.097,-8.83758,POINT (115.097237 -8.837580000000001)
'5764608310152495354',2.02E+16,-122.94,-14.06,100,115.098,-8.83758,POINT (115.097924 -8.837580000000001)
'5764608310152495372',2.02E+16,-123,-20,2,115.093,-8.83554,POINT (115.09346 -8.835544000000001)
'5764608310152495373',2.02E+16,-121.65,-14.81,888,115.093,-8.83521,POINT (115.09346 -8.835205)
'5764608310152495378',2.02E+16,-121.71,-11.32,17,115.093,-8.83487,POINT (115.093117 -8.834866)
'5764608310152495389',2.02E+16,-121.9,-16.68,20,115.093,-8.83385,POINT (115.09346 -8.833848)
'5764608310152495398',2.02E+16,-122.2,-14.1,5,115.094,-8.83554,POINT (115.09449 -8.835544000000001)
'5764608310152495399',2.02E+16,-121.06,-12.71,33,115.094,-8.83521,POINT (115.09449 -8.835205)
'5764608310152495406',2.02E+16,-120.6,-14.15,109,115.095,-8.83554,POINT (115.095177 -8.835544000000001)
'5764608310152495407',2.02E+16,-120.89,-14.69,237,115.095,-8.83521,POINT (115.095177 -8.835205)
'5764608310152495410',2.02E+16,-121.64,-13.27,39,115.094,-8.83487,POINT (115.09449 -8.834866)
'5764608310152495420',2.02E+16,-121.2,-14.6,5,115.095,-8.83419,POINT (115.094834 -8.834187)
'5764608310152495432',2.02E+16,-121.96,-12.63,23,115.093,-8.83351,POINT (115.09346 -8.833508999999999)
'5764608310152495439',2.02E+16,-121,-14.83,3,115.094,-8.83249,POINT (115.093804 -8.832491000000001)
'5764608310152495444',2.02E+16,-120.67,-15.17,6,115.093,-8.83147,POINT (115.092774 -8.831472999999999)
'5764608310152495447',2.02E+16,-126,-17.5,2,115.093,-8.83113,POINT (115.093117 -8.831134)
'5764608310152495454',2.02E+16,-125,-17,4,115.094,-8.83147,POINT (115.093804 -8.831472999999999)
'5764608310152495461',2.02E+16,-126.67,-16.5,6,115.094,-8.83249,POINT (115.094147 -8.832491000000001)
'5764608310152495462',2.02E+16,-120.75,-15,8,115.094,-8.83283,POINT (115.09449 -8.83283)
'5764608310152495476',2.02E+16,-121.16,-15.37,38,115.094,-8.83147,POINT (115.094147 -8.831472999999999)
'5764608310152495479',2.02E+16,-121.24,-11.83,21,115.094,-8.83113,POINT (115.09449 -8.831134)
'5764608310152495481',2.02E+16,-121.34,-13.63,68,115.095,-8.83181,POINT (115.094834 -8.831811999999999)
'5764608310152495483',2.02E+16,-124.33,-17.42,6,115.095,-8.83181,POINT (115.095177 -8.831811999999999)
'5764608310152495488',2.02E+16,-122.14,-10.86,43,115.096,-8.83622,POINT (115.09552 -8.836223)
'5764608310152495514',2.02E+16,-121.9,-13.5,10,115.097,-8.83487,POINT (115.09655 -8.834866)
'5764608310152495523',2.02E+16,-120.86,-13.8,216,115.097,-8.83588,POINT (115.097237 -8.835883000000001)
