Tile Id,Date,Serving Cell Average RSRP (All),Serving Cell Average RSRQ (All),Total MR Count,Longitude,Latitude,geometry,cluster
'5764608310152461584',2.02E+16,-120.38,-13,16,115.126,-8.84572,POINT (115.126 -8.84572),7
'5764608310152461624',2.02E+16,-121.88,-14.37,66,115.128,-8.84572,POINT (115.128 -8.84572),7
'5764608310152461625',2.02E+16,-128.12,-18.5,8,115.128,-8.84538,POINT (115.128 -8.84538),7
'5764608310152461639',2.02E+16,-121.71,-12.9,296,115.126,-8.84335,POINT (115.126 -8.843349999999999),7
'5764608310152461640',2.02E+16,-121.25,-11.69,8,115.126,-8.84436,POINT (115.126 -8.84436),7
'5764608310152461641',2.02E+16,-121,-16.08,12,115.126,-8.84403,POINT (115.126 -8.84403),7
'5764608310152461700',2.02E+16,-122.39,-13.93,28,115.128,-8.8464,POINT (115.128 -8.846399999999999),7
'5764608310152461702',2.02E+16,-126.47,-16.23,15,115.129,-8.8464,POINT (115.129 -8.846399999999999),7
'5764608310152461708',2.02E+16,-121.03,-12.02,65,115.129,-8.8464,POINT (115.129 -8.846399999999999),7
'5764608310152461711',2.02E+16,-125.72,-15.63,39,115.13,-8.84606,POINT (115.13 -8.846060000000001),7
'5764608310152461712',2.02E+16,-122.4,-12.91,77,115.128,-8.84572,POINT (115.128 -8.84572),7
'5764608310152461720',2.02E+16,-121,-14.8,10,115.129,-8.84572,POINT (115.129 -8.84572),7
'5764608310152461721',2.02E+16,-122.56,-13.22,25,115.129,-8.84538,POINT (115.129 -8.84538),7
'5764608310152461724',2.02E+16,-127.6,-13,5,115.129,-8.84504,POINT (115.129 -8.845039999999999),7
'5764608310152461729',2.02E+16,-123.19,-12.51,101,115.13,-8.84674,POINT (115.13 -8.846739999999999),7
'5764608310152461733',2.02E+16,-123.93,-13.39,41,115.13,-8.84606,POINT (115.13 -8.846060000000001),7
'5764608310152461734',2.02E+16,-132.43,-17.35,7,115.13,-8.8464,POINT (115.13 -8.846399999999999),7
'5764608310152461740',2.02E+16,-123.62,-12.06,32,115.131,-8.8464,POINT (115.131 -8.846399999999999),7
'5764608310152461743',2.02E+16,-120.2,-13.8,5,115.131,-8.84606,POINT (115.131 -8.846060000000001),7
'5764608310152461744',2.02E+16,-124.55,-13.53,69,115.13,-8.84572,POINT (115.13 -8.84572),7
'5764608310152461745',2.02E+16,-128.12,-15.82,8,115.13,-8.84538,POINT (115.13 -8.84538),7
'5764608310152461746',2.02E+16,-126,-12.83,9,115.13,-8.84572,POINT (115.13 -8.84572),7
'5764608310152461747',2.02E+16,-126.93,-15.55,29,115.13,-8.84538,POINT (115.13 -8.84538),7
'5764608310152461748',2.02E+16,-123.67,-16.39,9,115.13,-8.84504,POINT (115.13 -8.845039999999999),7
'5764608310152461749',2.02E+16,-120.76,-12.55,29,115.13,-8.8447,POINT (115.13 -8.8447),7
'5764608310152461753',2.02E+16,-123.5,-14.84,12,115.131,-8.84538,POINT (115.131 -8.84538),7
'5764608310152461756',2.02E+16,-121.41,-16.23,22,115.131,-8.84504,POINT (115.131 -8.845039999999999),7
'5764608310152461757',2.02E+16,-122.6,-11.06,60,115.131,-8.8447,POINT (115.131 -8.8447),7
'5764608310152461770',2.02E+16,-124.2,-15.2,10,115.13,-8.84436,POINT (115.13 -8.84436),7
'5764608310152461771',2.02E+16,-122,-13,2,115.13,-8.84403,POINT (115.13 -8.84403),7
'5764608310152461779',2.02E+16,-126.8,-15.25,10,115.129,-8.84267,POINT (115.129 -8.84267),7
'5764608310152461786',2.02E+16,-121.13,-12.85,38,115.13,-8.84301,POINT (115.13 -8.843010000000001),7
'5764608310152461787',2.02E+16,-127.94,-16.17,18,115.13,-8.84267,POINT (115.13 -8.84267),7
'5764608310152461788',2.02E+16,-128,-18.5,2,115.129,-8.84233,POINT (115.129 -8.84233),7
'5764608310152461795',2.02E+16,-121.8,-16.52,60,115.13,-8.84403,POINT (115.13 -8.84403),7
'5764608310152461798',2.02E+16,-123.94,-13.59,16,115.13,-8.84369,POINT (115.13 -8.843689999999999),7
'5764608310152461807',2.02E+16,-126.28,-14.18,14,115.131,-8.84335,POINT (115.131 -8.843349999999999),2
'5764608310152461809',2.02E+16,-125.78,-13.61,14,115.13,-8.84267,POINT (115.13 -8.84267),7
'5764608310152461815',2.02E+16,-124.08,-14,13,115.13,-8.84199,POINT (115.13 -8.841989999999999),2
'5764608310152461817',2.02E+16,-120.31,-13.51,74,115.131,-8.84267,POINT (115.131 -8.84267),2
'5764608310152461818',2.02E+16,-120.88,-9.63,24,115.131,-8.84301,POINT (115.131 -8.843010000000001),2
'5764608310152461819',2.02E+16,-122.5,-11.69,16,115.131,-8.84267,POINT (115.131 -8.84267),2
'5764608310152461820',2.02E+16,-126.7,-13.8,10,115.131,-8.84233,POINT (115.131 -8.84233),2
'5764608310152461823',2.02E+16,-122.29,-12.7,41,115.131,-8.84199,POINT (115.131 -8.841989999999999),2
